
country, date, income, users, orders, complaints
Poland,2016-10-05,1566,54,0,4
Poland,2016-10-06,2618,78,49,3
Poland,2016-10-07,985,53,50,4
Poland,2016-10-08,667,70,1,1
Poland,2016-10-09,2550,15,16,0
Poland,2016-10-10,251,77,27,2
Poland,2016-10-11,942,26,7,2
Poland,2016-10-12,205,61,38,5
Poland,2016-10-13,1214,5,28,5
Poland,2016-10-14,897,70,46,2
Poland,2016-10-15,1137,20,41,4
Poland,2016-10-16,2799,10,11,5
Poland,2016-10-17,1571,19,32,5
Poland,2016-10-18,1226,1,16,0
Poland,2016-10-19,1384,56,33,4
Poland,2016-10-20,306,45,20,4
Poland,2016-10-21,1577,55,6,0
Poland,2016-10-22,1955,60,0,2
Poland,2016-10-23,1517,69,11,0
Poland,2016-10-24,596,50,5,0
Poland,2016-10-25,1204,7,50,0
Poland,2016-10-26,1441,40,16,5
Poland,2016-10-27,2367,5,45,2
Poland,2016-10-28,963,17,3,5
Poland,2016-10-29,200,3,50,1
Poland,2016-10-30,881,31,18,1
Poland,2016-10-31,1968,8,39,1
Poland,2016-11-01,2503,25,40,5
Poland,2016-11-02,2268,43,0,0
Poland,2016-11-03,1745,41,42,2
Poland,2016-11-04,305,18,27,3
Poland,2016-11-05,149,7,43,1
Poland,2016-11-06,2782,78,43,1
Poland,2016-11-07,2608,44,24,0
Poland,2016-11-08,246,15,13,2
Poland,2016-11-09,1459,74,3,0
Poland,2016-11-10,2503,0,33,2
Poland,2016-11-11,1021,63,31,5
Poland,2016-11-12,2442,19,2,2
Poland,2016-11-13,1624,70,7,3
Poland,2016-11-14,227,58,13,3
Poland,2016-11-15,670,28,28,1
Poland,2016-11-16,2289,60,17,4
Poland,2016-11-17,212,48,10,5
Poland,2016-11-18,2737,7,45,3
Poland,2016-11-19,2458,26,39,4
Poland,2016-11-20,1309,42,18,4
Poland,2016-11-21,958,28,1,0
Poland,2016-11-22,910,61,17,5
Poland,2016-11-23,2318,10,43,4
Poland,2016-11-24,1854,36,26,5
Poland,2016-11-25,985,78,31,2
Poland,2016-11-26,1846,42,31,1
Poland,2016-11-27,522,70,21,3
Poland,2016-11-28,79,12,13,4
Poland,2016-11-29,2144,73,47,5
Poland,2016-11-30,553,70,25,4
Poland,2016-12-01,691,1,47,1
Poland,2016-12-02,979,54,50,2
Poland,2016-12-03,1529,21,31,3
Poland,2016-12-04,2227,21,28,5
Poland,2016-12-05,1714,45,0,2
Poland,2016-12-06,2272,1,36,3
Poland,2016-12-07,1127,13,8,5
Poland,2016-12-08,744,39,19,0
Poland,2016-12-09,2503,72,10,4
Poland,2016-12-10,906,33,12,3
Poland,2016-12-11,625,10,37,0
Poland,2016-12-12,1061,39,9,1
Poland,2016-12-13,2256,61,23,2
Poland,2016-12-14,766,17,40,3
Poland,2016-12-15,2274,27,38,0
Poland,2016-12-16,1189,4,22,2
Poland,2016-12-17,350,10,1,3
Poland,2016-12-18,534,64,42,2
Poland,2016-12-19,2207,34,45,3
Poland,2016-12-20,986,23,20,3
Poland,2016-12-21,1927,72,16,2
Poland,2016-12-22,109,58,21,3
Poland,2016-12-23,87,1,9,4
Poland,2016-12-24,1347,38,21,0
Poland,2016-12-25,1431,49,7,1
Poland,2016-12-26,603,21,16,4
Poland,2016-12-27,114,69,3,1
Poland,2016-12-28,2874,7,19,5
Poland,2016-12-29,1405,7,8,0
Poland,2016-12-30,819,37,16,0
Poland,2016-12-31,734,11,15,1
Poland,2017-01-01,236,9,18,2
Poland,2017-01-02,1746,51,6,5
Poland,2017-01-03,2349,0,50,3
Poland,2017-01-04,112,78,37,3
Poland,2017-01-05,1008,46,50,3
Poland,2017-01-06,1523,69,39,5
Poland,2017-01-07,2494,21,33,0
Poland,2017-01-08,560,32,31,5
Poland,2017-01-09,140,14,42,2
Poland,2017-01-10,2806,36,5,3
Poland,2017-01-11,1708,63,14,4
Poland,2017-01-12,920,68,25,2
Poland,2017-01-13,902,36,28,4
Poland,2017-01-14,1789,23,31,0
Poland,2017-01-15,178,33,26,0
Poland,2017-01-16,769,56,9,1
Poland,2017-01-17,1448,51,37,4
Poland,2017-01-18,1641,41,37,3
Poland,2017-01-19,2253,50,28,4
Poland,2017-01-20,421,57,25,5
Poland,2017-01-21,2622,47,12,2
Poland,2017-01-22,2684,1,18,4
Poland,2017-01-23,194,34,21,5
Poland,2017-01-24,2070,53,46,0
Poland,2017-01-25,2634,29,33,3
Poland,2017-01-26,103,22,38,1
Poland,2017-01-27,2874,22,13,4
Poland,2017-01-28,833,2,21,4
Poland,2017-01-29,1266,22,29,0
Poland,2017-01-30,2153,32,13,2
Poland,2017-01-31,2549,60,23,2
Poland,2017-02-01,1930,76,15,4
Poland,2017-02-02,783,79,10,5
Poland,2017-02-03,2646,0,17,5
Poland,2017-02-04,1709,22,28,3
Poland,2017-02-05,2598,29,40,0
Poland,2017-02-06,2554,23,46,1
Poland,2017-02-07,1611,70,1,1
Poland,2017-02-08,1738,34,33,5
Poland,2017-02-09,15,26,34,2
Poland,2017-02-10,2092,43,4,5
Poland,2017-02-11,716,39,49,5
Poland,2017-02-12,2644,44,32,1
Poland,2017-02-13,585,31,3,5
Poland,2017-02-14,2781,80,3,4
Poland,2017-02-15,831,70,8,3
Poland,2017-02-16,777,42,38,2
Poland,2017-02-17,2130,33,7,5
Poland,2017-02-18,286,0,43,4
Poland,2017-02-19,449,35,3,0
Poland,2017-02-20,137,80,41,5
Poland,2017-02-21,743,60,35,5
Poland,2017-02-22,2894,47,38,5
Poland,2017-02-23,1033,49,17,2
Poland,2017-02-24,2262,5,49,2
Poland,2017-02-25,2342,10,13,2
Poland,2017-02-26,304,63,17,1
Poland,2017-02-27,2164,14,39,2
Poland,2017-02-28,2657,70,23,1
Poland,2017-03-01,2803,74,32,5
Poland,2017-03-02,2854,35,37,3
Poland,2017-03-03,651,3,49,2
Poland,2017-03-04,1034,4,19,5
Poland,2017-03-05,50,18,31,5
Poland,2017-03-06,355,50,27,5
Poland,2017-03-07,518,28,27,1
Poland,2017-03-08,1498,69,23,0
Poland,2017-03-09,144,45,24,1
Poland,2017-03-10,843,42,0,5
Poland,2017-03-11,964,15,34,4
Poland,2017-03-12,1487,69,32,1
Poland,2017-03-13,772,40,27,1
Poland,2017-03-14,160,60,25,2
Poland,2017-03-15,342,50,4,2
Poland,2017-03-16,1136,28,45,1
Poland,2017-03-17,500,35,9,0
Poland,2017-03-18,2533,23,13,4
Poland,2017-03-19,1317,4,20,1
Poland,2017-03-20,871,41,8,5
Poland,2017-03-21,39,12,38,5
Poland,2017-03-22,61,39,33,4
Poland,2017-03-23,317,23,46,4
Poland,2017-03-24,2275,76,1,1
Poland,2017-03-25,1745,60,10,3
Poland,2017-03-26,573,60,20,3
Poland,2017-03-27,872,12,26,4
Poland,2017-03-28,2270,36,33,0
Poland,2017-03-29,1000,77,48,2
Poland,2017-03-30,2525,68,15,5
Poland,2017-03-31,301,38,34,4
Poland,2017-04-01,1947,66,32,2
Poland,2017-04-02,1890,75,45,0
Poland,2017-04-03,321,12,45,2
Poland,2017-04-04,277,24,43,5
Poland,2017-04-05,766,64,9,2
Poland,2017-04-06,1463,60,20,3
Poland,2017-04-07,2978,61,10,2
Poland,2017-04-08,2372,44,35,4
Poland,2017-04-09,618,38,8,3
Poland,2017-04-10,2728,23,40,2
Poland,2017-04-11,2970,69,46,3
Poland,2017-04-12,171,12,48,0
Poland,2017-04-13,1997,18,19,4
Poland,2017-04-14,359,4,42,4
Poland,2017-04-15,2882,54,16,0
Poland,2017-04-16,1556,6,17,5
Poland,2017-04-17,1665,57,10,1
Poland,2017-04-18,2871,8,11,4
Poland,2017-04-19,1636,39,12,4
Poland,2017-04-20,2677,27,39,5
Poland,2017-04-21,570,11,22,1
Poland,2017-04-22,1053,2,22,1
Poland,2017-04-23,1900,12,36,4
Poland,2017-04-24,1734,29,47,1
Poland,2017-04-25,1271,57,18,2
Poland,2017-04-26,430,28,15,3
Poland,2017-04-27,1962,54,38,1
Poland,2017-04-28,2916,27,39,1
Poland,2017-04-29,2945,59,44,3
Poland,2017-04-30,2866,42,32,3
Poland,2017-05-01,1774,46,39,2
Poland,2017-05-02,2181,13,21,0
Poland,2017-05-03,772,26,21,1
Poland,2017-05-04,441,19,25,4
Poland,2017-05-05,866,73,29,4
Poland,2017-05-06,586,58,19,0
Poland,2017-05-07,227,0,12,1
Poland,2017-05-08,909,46,45,0
Poland,2017-05-09,2344,44,43,1
Poland,2017-05-10,2229,24,34,2
Poland,2017-05-11,2960,32,12,1
Poland,2017-05-12,1842,7,7,0
Poland,2017-05-13,435,39,5,1
Poland,2017-05-14,1442,34,9,0
Poland,2017-05-15,368,57,48,5
Poland,2017-05-16,1840,36,18,0
Poland,2017-05-17,1308,1,47,1
Poland,2017-05-18,2386,11,42,2
Poland,2017-05-19,676,23,35,0
Poland,2017-05-20,1748,51,32,3
Poland,2017-05-21,2088,44,20,4
Poland,2017-05-22,1947,51,46,1
Poland,2017-05-23,2214,72,10,1
Poland,2017-05-24,2371,74,24,4
Poland,2017-05-25,1862,35,24,4
Poland,2017-05-26,2233,32,38,2
Poland,2017-05-27,1490,36,44,4
Poland,2017-05-28,7,21,2,1
Poland,2017-05-29,1535,80,46,3
Poland,2017-05-30,177,9,43,2
Poland,2017-05-31,2362,30,3,4
Poland,2017-06-01,84,1,46,0
Poland,2017-06-02,2589,28,38,3
Poland,2017-06-03,1556,24,2,2
Poland,2017-06-04,752,43,48,0
Poland,2017-06-05,2602,80,49,5
Poland,2017-06-06,1078,66,4,1
Poland,2017-06-07,2956,1,38,2
Poland,2017-06-08,1289,17,29,4
Poland,2017-06-09,1402,19,36,2
Poland,2017-06-10,2184,42,9,4
Poland,2017-06-11,1103,78,23,0
Poland,2017-06-12,2920,54,40,5
Poland,2017-06-13,1335,16,21,3
Poland,2017-06-14,1144,77,12,2
Poland,2017-06-15,1203,43,30,3
Poland,2017-06-16,652,24,48,3
Poland,2017-06-17,1607,26,9,4
Poland,2017-06-18,2805,55,41,5
Poland,2017-06-19,1576,53,37,4
Poland,2017-06-20,2812,74,29,3
Poland,2017-06-21,2925,14,29,4
Poland,2017-06-22,2503,62,39,4
Poland,2017-06-23,117,12,38,1
Poland,2017-06-24,827,56,30,3
Poland,2017-06-25,1881,78,49,5
Poland,2017-06-26,2632,70,9,0
Poland,2017-06-27,2873,8,15,3
Poland,2017-06-28,2363,59,27,3
Poland,2017-06-29,742,70,29,2
Poland,2017-06-30,777,22,33,0
Poland,2017-07-01,1244,65,3,2
Poland,2017-07-02,696,60,1,5
Poland,2017-07-03,60,22,10,1
Poland,2017-07-04,1829,47,18,0
Poland,2017-07-05,2205,8,45,3
Poland,2017-07-06,803,62,1,5
Poland,2017-07-07,184,28,24,4
Poland,2017-07-08,21,23,40,3
Poland,2017-07-09,1257,66,11,2
Poland,2017-07-10,2480,44,22,2
Poland,2017-07-11,2878,10,11,4
Poland,2017-07-12,811,26,3,0
Poland,2017-07-13,1834,47,19,0
Poland,2017-07-14,2524,30,49,2
Poland,2017-07-15,1555,8,37,2
Poland,2017-07-16,912,56,3,4
Poland,2017-07-17,612,22,7,2
Poland,2017-07-18,2422,61,8,0
Poland,2017-07-19,782,62,30,3
Poland,2017-07-20,1615,22,3,2
Poland,2017-07-21,1162,68,43,3
Poland,2017-07-22,1205,39,21,0
Poland,2017-07-23,1203,72,19,2
Poland,2017-07-24,543,36,38,1
Poland,2017-07-25,1808,28,2,3
Poland,2017-07-26,2209,7,15,4
Poland,2017-07-27,2084,58,13,5
Poland,2017-07-28,911,66,11,0
Poland,2017-07-29,2053,53,17,0
Poland,2017-07-30,1354,71,13,1
Poland,2017-07-31,2937,1,10,2
Poland,2017-08-01,984,28,11,4
Poland,2017-08-02,2735,53,23,1
Poland,2017-08-03,2182,73,37,1
Poland,2017-08-04,1761,44,9,3
Poland,2017-08-05,2438,41,25,2
Poland,2017-08-06,2518,13,26,1
Poland,2017-08-07,878,50,29,5
Poland,2017-08-08,519,77,16,3
Poland,2017-08-09,853,9,12,3
Poland,2017-08-10,2249,24,36,4
Poland,2017-08-11,2145,44,24,3
Poland,2017-08-12,857,16,46,1
Poland,2017-08-13,2563,34,32,0
Poland,2017-08-14,2306,4,31,4
Poland,2017-08-15,80,14,45,1
Poland,2017-08-16,846,11,8,1
Poland,2017-08-17,1307,58,27,1
Poland,2017-08-18,2280,40,23,3
Poland,2017-08-19,1275,72,44,2
Poland,2017-08-20,2384,62,38,0
Poland,2017-08-21,61,57,3,3
Poland,2017-08-22,2108,62,8,4
Poland,2017-08-23,2841,58,26,3
Poland,2017-08-24,2769,80,44,3
Poland,2017-08-25,2735,25,48,2
Poland,2017-08-26,1094,34,34,0
Poland,2017-08-27,1675,28,28,5
Poland,2017-08-28,2493,32,24,4
Poland,2017-08-29,2993,25,33,1
Poland,2017-08-30,2336,46,23,3
Poland,2017-08-31,2929,19,5,4
Poland,2017-09-01,1504,57,36,0
Poland,2017-09-02,1370,64,24,1
Poland,2017-09-03,2887,72,19,2
Poland,2017-09-04,35,28,19,4
Poland,2017-09-05,673,23,16,2
Poland,2017-09-06,503,70,20,4
Poland,2017-09-07,2618,8,47,0
Poland,2017-09-08,2592,16,0,0
Poland,2017-09-09,2876,70,38,4
Poland,2017-09-10,307,3,32,0
Poland,2017-09-11,1619,14,33,2
Poland,2017-09-12,1572,67,8,2
Poland,2017-09-13,1383,79,30,4
Poland,2017-09-14,744,70,40,1
Poland,2017-09-15,2022,10,12,4
Poland,2017-09-16,2757,60,10,3
Poland,2017-09-17,2718,17,0,4
Poland,2017-09-18,1380,44,49,4
Poland,2017-09-19,688,27,47,4
Poland,2017-09-20,384,35,14,2
Poland,2017-09-21,2162,0,25,0
Poland,2017-09-22,915,76,50,1
Poland,2017-09-23,1718,77,48,5
Poland,2017-09-24,2458,67,10,1
Poland,2017-09-25,2964,78,28,2
Poland,2017-09-26,638,72,23,3
Poland,2017-09-27,576,20,9,1
Poland,2017-09-28,298,14,0,3
Poland,2017-09-29,2228,71,24,4
Poland,2017-09-30,1751,78,50,5
Poland,2017-10-01,2884,69,5,3
Poland,2017-10-02,1707,17,2,3
Poland,2017-10-03,2056,63,5,5
Poland,2017-10-04,289,13,4,5
Poland,2017-10-05,1355,28,29,5
Poland,2017-10-06,2951,19,40,5
Poland,2017-10-07,272,70,26,0
Poland,2017-10-08,1443,51,14,3
Poland,2017-10-09,2393,11,42,3
Poland,2017-10-10,2784,70,34,4
Poland,2017-10-11,2426,5,8,3
Poland,2017-10-12,331,42,22,5
Poland,2017-10-13,80,50,18,1
Poland,2017-10-14,934,77,4,0
Poland,2017-10-15,1556,19,25,0
Poland,2017-10-16,1338,63,36,3
Poland,2017-10-17,2108,4,0,2
Poland,2017-10-18,419,4,23,3
Poland,2017-10-19,1962,78,33,3
Poland,2017-10-20,1507,75,3,2
Poland,2017-10-21,2356,64,40,4
Poland,2017-10-22,1017,15,50,5
Poland,2017-10-23,134,22,38,5
Poland,2017-10-24,2336,65,39,0
Poland,2017-10-25,2051,79,7,5
Poland,2017-10-26,949,67,0,1
Poland,2017-10-27,547,63,2,2
Poland,2017-10-28,1582,20,39,3
Poland,2017-10-29,2191,15,39,3
Poland,2017-10-30,2589,46,34,3
Poland,2017-10-31,382,68,32,2
Poland,2017-11-01,2970,35,31,0
Poland,2017-11-02,199,68,45,1
Poland,2017-11-03,342,5,49,4
Poland,2017-11-04,128,30,45,4
Poland,2017-11-05,1510,45,6,4
Poland,2017-11-06,1080,61,3,1
Poland,2017-11-07,1908,46,42,5
Poland,2017-11-08,704,54,26,4
Poland,2017-11-09,1629,7,25,4
Poland,2017-11-10,1556,21,16,0
Poland,2017-11-11,1608,77,48,0
Poland,2017-11-12,682,54,45,2
Poland,2017-11-13,1784,53,35,1
Poland,2017-11-14,1391,56,46,4
Poland,2017-11-15,785,65,42,4
Poland,2017-11-16,2498,36,29,1
Poland,2017-11-17,1803,17,16,2
Poland,2017-11-18,1085,70,33,2
Poland,2017-11-19,1659,37,35,2
Poland,2017-11-20,1717,5,4,3
Poland,2017-11-21,1205,6,42,5
Poland,2017-11-22,1807,4,21,2
Poland,2017-11-23,272,63,45,3
Poland,2017-11-24,953,57,17,1
Poland,2017-11-25,2953,25,37,1
Poland,2017-11-26,2251,55,23,2
Poland,2017-11-27,2546,34,12,3
Poland,2017-11-28,2221,2,19,1
Poland,2017-11-29,947,5,10,0
Poland,2017-11-30,1268,28,48,4
Poland,2017-12-01,2465,10,9,2
Poland,2017-12-02,1576,21,24,4
Poland,2017-12-03,2440,66,39,0
Poland,2017-12-04,1026,76,9,1
Poland,2017-12-05,2201,62,2,2
Poland,2017-12-06,2358,24,4,2
Poland,2017-12-07,1142,70,42,0
Poland,2017-12-08,1133,52,29,2
Poland,2017-12-09,1313,51,47,2
Poland,2017-12-10,1016,2,35,1
Poland,2017-12-11,2905,71,11,2
Poland,2017-12-12,2292,26,20,4
Poland,2017-12-13,1367,75,9,2
Poland,2017-12-14,456,18,4,5
Poland,2017-12-15,2378,15,7,5
Poland,2017-12-16,1088,57,32,0
Poland,2017-12-17,2251,46,35,3
Poland,2017-12-18,333,36,2,4
Poland,2017-12-19,618,41,27,0
Poland,2017-12-20,2701,67,12,3
Poland,2017-12-21,1847,71,24,5
Poland,2017-12-22,1610,65,0,0
Poland,2017-12-23,2833,34,31,3
Poland,2017-12-24,1462,23,40,5
Poland,2017-12-25,381,39,15,0
Poland,2017-12-26,2156,19,5,0
Poland,2017-12-27,509,46,25,4
Poland,2017-12-28,503,70,40,1
Poland,2017-12-29,2380,3,3,1
Poland,2017-12-30,639,34,35,0
Poland,2017-12-31,736,56,24,0
Poland,2018-01-01,2697,59,0,5
Poland,2018-01-02,445,37,0,0
Poland,2018-01-03,535,74,11,5
Poland,2018-01-04,189,45,5,0
Poland,2018-01-05,2522,5,35,5
Poland,2018-01-06,1471,39,6,2
Poland,2018-01-07,2120,36,35,4
Poland,2018-01-08,379,72,18,2
Poland,2018-01-09,2806,39,22,2
Poland,2018-01-10,2719,20,45,4
Poland,2018-01-11,1297,29,47,5
Poland,2018-01-12,1976,53,26,1
Poland,2018-01-13,2395,11,37,1
Poland,2018-01-14,2578,31,27,4
Poland,2018-01-15,1060,64,9,2
Poland,2018-01-16,2701,25,50,3
Poland,2018-01-17,265,57,18,5
Poland,2018-01-18,515,37,15,0
Poland,2018-01-19,641,32,34,4
Poland,2018-01-20,2764,29,24,3
Poland,2018-01-21,2128,6,32,2
Poland,2018-01-22,2755,58,5,5
Poland,2018-01-23,1413,71,3,0
Poland,2018-01-24,2081,30,19,3
Poland,2018-01-25,321,12,3,4
Poland,2018-01-26,614,24,13,5
Poland,2018-01-27,1081,62,27,2
Poland,2018-01-28,917,57,23,4
Poland,2018-01-29,44,49,4,1
Poland,2018-01-30,1813,51,46,1
Poland,2018-01-31,406,23,2,1
Poland,2018-02-01,890,49,30,4
Poland,2018-02-02,15,14,33,2
Poland,2018-02-03,2664,39,47,3
Poland,2018-02-04,667,0,5,4
Poland,2018-02-05,1400,56,39,2
Poland,2018-02-06,1663,38,38,5
Poland,2018-02-07,654,36,45,0
Poland,2018-02-08,2211,3,39,3
Poland,2018-02-09,390,16,27,3
Poland,2018-02-10,2996,18,41,0
Poland,2018-02-11,241,50,16,5
Poland,2018-02-12,816,78,40,5
Poland,2018-02-13,159,29,35,5
Poland,2018-02-14,1424,47,50,5
Poland,2018-02-15,2195,46,4,1
Poland,2018-02-16,1472,64,16,0
Poland,2018-02-17,1546,61,6,5
Poland,2018-02-18,1601,72,25,1
Poland,2018-02-19,2290,42,35,4
Poland,2018-02-20,2489,49,38,1
Poland,2018-02-21,1657,13,14,4
Poland,2018-02-22,1525,7,30,3
Poland,2018-02-23,102,45,13,0
Poland,2018-02-24,1449,20,32,2
Poland,2018-02-25,2476,40,18,4
Poland,2018-02-26,1965,45,18,5
Poland,2018-02-27,2132,18,6,2
Poland,2018-02-28,2771,60,16,1
Poland,2018-03-01,119,59,34,3
Poland,2018-03-02,2622,60,23,5
Poland,2018-03-03,510,67,17,1
Poland,2018-03-04,2295,22,47,0
Poland,2018-03-05,1393,60,7,3
Poland,2018-03-06,686,36,16,4
Poland,2018-03-07,504,1,38,5
Poland,2018-03-08,1897,62,6,4
Poland,2018-03-09,1487,35,22,4
Poland,2018-03-10,1207,18,24,1
Poland,2018-03-11,2783,38,19,3
Poland,2018-03-12,1828,5,0,5
Poland,2018-03-13,2102,14,29,2
Poland,2018-03-14,2670,27,0,4
Poland,2018-03-15,2502,15,39,4
Poland,2018-03-16,1344,70,6,2
Poland,2018-03-17,494,43,28,2
Poland,2018-03-18,2312,5,50,2
Poland,2018-03-19,1100,65,35,2
Poland,2018-03-20,106,8,32,0
Poland,2018-03-21,2857,70,27,4
Poland,2018-03-22,1766,8,23,0
Poland,2018-03-23,1359,15,25,2
Poland,2018-03-24,974,7,49,4
Poland,2018-03-25,2780,20,25,4
Poland,2018-03-26,2514,27,17,3
Poland,2018-03-27,1296,1,44,5
Poland,2018-03-28,2418,43,14,2
Poland,2018-03-29,1653,71,13,1
Poland,2018-03-30,72,62,18,3
Poland,2018-03-31,2600,36,16,4
Poland,2018-04-01,2811,71,5,5
Poland,2018-04-02,2775,74,31,4
Poland,2018-04-03,958,25,39,1
Poland,2018-04-04,28,64,43,3
Poland,2018-04-05,1308,4,11,4
Poland,2018-04-06,429,35,13,4
Poland,2018-04-07,1984,43,28,1
Poland,2018-04-08,2794,22,25,4
Poland,2018-04-09,2312,28,25,0
Poland,2018-04-10,2960,61,32,2
Poland,2018-04-11,1818,14,44,4
Poland,2018-04-12,2231,68,2,0
Poland,2018-04-13,1198,78,0,5
Poland,2018-04-14,1822,68,19,1
Poland,2018-04-15,2900,2,48,0
Poland,2018-04-16,1856,66,36,0
Poland,2018-04-17,164,56,40,0
Poland,2018-04-18,1722,34,0,3
Poland,2018-04-19,1761,57,29,4
Poland,2018-04-20,1690,16,12,5
Poland,2018-04-21,761,11,27,5
Poland,2018-04-22,148,22,31,5
Poland,2018-04-23,1079,59,4,0
Poland,2018-04-24,2209,74,1,1
Poland,2018-04-25,1167,5,40,3
Poland,2018-04-26,1917,45,29,0
Poland,2018-04-27,257,67,39,5
Poland,2018-04-28,2480,64,47,5
Poland,2018-04-29,1469,25,23,1
Poland,2018-04-30,2994,32,34,2
Poland,2018-05-01,2136,74,21,1
Poland,2018-05-02,2308,52,41,3
Poland,2018-05-03,2240,65,9,1
Poland,2018-05-04,829,72,24,5
Poland,2018-05-05,2299,28,40,2
Poland,2018-05-06,1277,16,49,3
Poland,2018-05-07,2584,57,8,2
Poland,2018-05-08,2481,2,13,5
Poland,2018-05-09,1765,3,26,4
Poland,2018-05-10,633,21,27,3
Poland,2018-05-11,1583,11,24,5
Poland,2018-05-12,1158,34,12,1
Poland,2018-05-13,2738,6,31,2
Poland,2018-05-14,1775,30,36,0
Poland,2018-05-15,2343,13,47,1
Poland,2018-05-16,2353,73,4,1
Poland,2018-05-17,964,1,33,1
Poland,2018-05-18,437,19,21,2
Poland,2018-05-19,356,73,11,4
Poland,2018-05-20,2749,12,39,0
Poland,2018-05-21,870,35,39,3
Poland,2018-05-22,261,32,2,2
Poland,2018-05-23,2664,71,9,3
Poland,2018-05-24,2829,8,20,0
Poland,2018-05-25,2972,58,45,5
Poland,2018-05-26,1875,61,28,5
Poland,2018-05-27,1309,26,44,0
Poland,2018-05-28,1255,3,13,5
Poland,2018-05-29,2314,46,43,0
Poland,2018-05-30,732,46,19,5
Poland,2018-05-31,2569,12,11,1
Poland,2018-06-01,399,63,47,1
Poland,2018-06-02,1387,6,13,0
Poland,2018-06-03,167,21,19,1
Poland,2018-06-04,453,79,47,1
Poland,2018-06-05,2856,77,2,5
Poland,2018-06-06,2616,72,16,2
Poland,2018-06-07,982,64,30,0
Poland,2018-06-08,1593,71,16,1
Poland,2018-06-09,1938,54,16,0
Poland,2018-06-10,35,27,14,4
Poland,2018-06-11,2582,4,5,3
Poland,2018-06-12,729,22,29,2
Poland,2018-06-13,478,59,41,2
Poland,2018-06-14,1534,57,27,5
Poland,2018-06-15,1977,12,24,0
Poland,2018-06-16,2468,41,12,3
Poland,2018-06-17,305,4,23,4
Poland,2018-06-18,2478,63,25,3
Poland,2018-06-19,1652,76,12,0
Poland,2018-06-20,522,75,17,3
Poland,2018-06-21,538,20,7,3
Poland,2018-06-22,1653,41,8,0
Poland,2018-06-23,1639,35,2,3
Poland,2018-06-24,2307,62,36,2
Poland,2018-06-25,2754,35,42,5
Poland,2018-06-26,1865,64,16,5
Poland,2018-06-27,89,38,33,1
Poland,2018-06-28,1286,19,50,2
Poland,2018-06-29,311,33,32,5
Poland,2018-06-30,2457,44,30,2
Poland,2018-07-01,1644,80,7,4
Poland,2018-07-02,507,2,46,2
Poland,2018-07-03,167,34,26,4
Poland,2018-07-04,2335,51,31,4
Poland,2018-07-05,267,57,24,1
Poland,2018-07-06,2651,38,30,1
Poland,2018-07-07,519,80,20,5
Poland,2018-07-08,1806,17,16,3
Poland,2018-07-09,2101,34,29,2
Poland,2018-07-10,940,48,2,3
Poland,2018-07-11,745,54,9,2
Poland,2018-07-12,2507,26,31,1
